air|0
stone|1
granite|1
polished_granite|1
diorite|1
polished_diorite|1
andesite|1
polished_andesite|1
grass_block|1
dirt|1
coarse_dirt|1
podzol|1
cobblestone|1
oak_planks|1
spruce_planks|1
birch_planks|1
jungle_planks|1
acacia_planks|1
cherry_planks|1
dark_oak_planks|1
mangrove_planks|1
bamboo_planks|1
bamboo_mosaic|1
oak_sapling|0
spruce_sapling|0
birch_sapling|0
jungle_sapling|0
acacia_sapling|0
cherry_sapling|0
dark_oak_sapling|0
mangrove_propagule|0
bedrock|1
water|0
lava|0
sand|1
suspicious_sand|1
red_sand|1
gravel|1
suspicious_gravel|1
gold_ore|1
deepslate_gold_ore|1
iron_ore|1
deepslate_iron_ore|1
coal_ore|1
deepslate_coal_ore|1
nether_gold_ore|1
oak_log|1
spruce_log|1
birch_log|1
jungle_log|1
acacia_log|1
cherry_log|1
dark_oak_log|1
mangrove_log|1
mangrove_roots|1
muddy_mangrove_roots|1
bamboo_block|1
stripped_spruce_log|1
stripped_birch_log|1
stripped_jungle_log|1
stripped_acacia_log|1
stripped_cherry_log|1
stripped_dark_oak_log|1
stripped_oak_log|1
stripped_mangrove_log|1
stripped_bamboo_block|1
oak_wood|1
spruce_wood|1
birch_wood|1
jungle_wood|1
acacia_wood|1
cherry_wood|1
dark_oak_wood|1
mangrove_wood|1
stripped_oak_wood|1
stripped_spruce_wood|1
stripped_birch_wood|1
stripped_jungle_wood|1
stripped_acacia_wood|1
stripped_cherry_wood|1
stripped_dark_oak_wood|1
stripped_mangrove_wood|1
oak_leaves|1
spruce_leaves|1
birch_leaves|1
jungle_leaves|1
acacia_leaves|1
cherry_leaves|1
dark_oak_leaves|1
mangrove_leaves|1
azalea_leaves|1
flowering_azalea_leaves|1
sponge|1
wet_sponge|1
glass|1
lapis_ore|1
deepslate_lapis_ore|1
lapis_block|1
dispenser|1
sandstone|1
chiseled_sandstone|1
cut_sandstone|1
note_block|1
white_bed|2,3,2,3,3,2,3,2,4,5,4,5,5,4,5,4
orange_bed|2,3,2,3,3,2,3,2,4,5,4,5,5,4,5,4
magenta_bed|2,3,2,3,3,2,3,2,4,5,4,5,5,4,5,4
light_blue_bed|2,3,2,3,3,2,3,2,4,5,4,5,5,4,5,4
yellow_bed|2,3,2,3,3,2,3,2,4,5,4,5,5,4,5,4
lime_bed|2,3,2,3,3,2,3,2,4,5,4,5,5,4,5,4
pink_bed|2,3,2,3,3,2,3,2,4,5,4,5,5,4,5,4
gray_bed|2,3,2,3,3,2,3,2,4,5,4,5,5,4,5,4
light_gray_bed|2,3,2,3,3,2,3,2,4,5,4,5,5,4,5,4
cyan_bed|2,3,2,3,3,2,3,2,4,5,4,5,5,4,5,4
purple_bed|2,3,2,3,3,2,3,2,4,5,4,5,5,4,5,4
blue_bed|2,3,2,3,3,2,3,2,4,5,4,5,5,4,5,4
brown_bed|2,3,2,3,3,2,3,2,4,5,4,5,5,4,5,4
green_bed|2,3,2,3,3,2,3,2,4,5,4,5,5,4,5,4
red_bed|2,3,2,3,3,2,3,2,4,5,4,5,5,4,5,4
black_bed|2,3,2,3,3,2,3,2,4,5,4,5,5,4,5,4
powered_rail|0
detector_rail|0
sticky_piston|6,7,8,9,10,11,1,1,1,1,1,1
cobweb|0
short_grass|0
fern|0
dead_bush|0
seagrass|0
tall_seagrass|0
piston|6,7,8,9,10,11,1,1,1,1,1,1
piston_head|12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,20,20,21,21,22,22,23,23
white_wool|1
orange_wool|1
magenta_wool|1
light_blue_wool|1
yellow_wool|1
lime_wool|1
pink_wool|1
gray_wool|1
light_gray_wool|1
cyan_wool|1
purple_wool|1
blue_wool|1
brown_wool|1
green_wool|1
red_wool|1
black_wool|1
moving_piston|0
dandelion|0
torchflower|0
poppy|0
blue_orchid|0
allium|0
