0||
1|0.0,0.0,0.0,1.0,1.0,1.0|DOWN,UP,NORTH,SOUTH,WEST,EAST
2|0.0,0.0,0.0,0.1875,0.5625,0.1875;0.8125,0.0,0.0,1.0,0.5625,0.1875;0.0,0.1875,0.1875,1.0,0.5625,1.0;0.1875,0.1875,0.0,0.8125,0.5625,0.1875|
3|0.0,0.0,0.8125,0.1875,0.5625,1.0;0.8125,0.0,0.8125,1.0,0.5625,1.0;0.0,0.1875,0.0,1.0,0.5625,0.8125;0.1875,0.1875,0.8125,0.8125,0.5625,1.0|
4|0.0,0.0,0.0,0.1875,0.5625,0.1875;0.0,0.0,0.8125,0.1875,0.5625,1.0;0.0,0.1875,0.1875,1.0,0.5625,0.8125;0.1875,0.1875,0.0,1.0,0.5625,0.1875;0.1875,0.1875,0.8125,1.0,0.5625,1.0|
5|0.8125,0.0,0.0,1.0,0.5625,0.1875;0.8125,0.0,0.8125,1.0,0.5625,1.0;0.0,0.1875,0.0,0.8125,0.5625,1.0;0.8125,0.1875,0.1875,1.0,0.5625,0.8125|
6|0.0,0.0,0.25,1.0,1.0,1.0|SOUTH
7|0.0,0.0,0.0,0.75,1.0,1.0|WEST
8|0.0,0.0,0.0,1.0,1.0,0.75|NORTH
9|0.25,0.0,0.0,1.0,1.0,1.0|EAST
10|0.0,0.0,0.0,1.0,0.75,1.0|DOWN
11|0.0,0.25,0.0,1.0,1.0,1.0|UP
12|0.0,0.0,0.0,1.0,1.0,0.25;0.375,0.375,0.25,0.625,0.625,1.0|NORTH
13|0.0,0.0,0.0,1.0,1.0,0.25;0.375,0.375,0.25,0.625,0.625,1.25|NORTH
14|0.75,0.0,0.0,1.0,1.0,1.0;0.0,0.375,0.375,0.75,0.625,0.625|EAST
15|0.75,0.0,0.0,1.0,1.0,1.0;-0.25,0.375,0.375,0.75,0.625,0.625|EAST
16|0.0,0.0,0.75,1.0,1.0,1.0;0.375,0.375,0.0,0.625,0.625,0.75|SOUTH
17|0.0,0.0,0.75,1.0,1.0,1.0;0.375,0.375,-0.25,0.625,0.625,0.75|SOUTH
18|0.0,0.0,0.0,0.25,1.0,1.0;0.25,0.375,0.375,1.0,0.625,0.625|WEST
19|0.0,0.0,0.0,0.25,1.0,1.0;0.25,0.375,0.375,1.25,0.625,0.625|WEST
20|0.375,0.0,0.375,0.625,1.0,0.625;0.0,0.75,0.0,0.375,1.0,1.0;0.375,0.75,0.0,1.0,1.0,0.375;0.375,0.75,0.625,1.0,1.0,1.0;0.625,0.75,0.375,1.0,1.0,0.625|UP
21|0.375,-0.25,0.375,0.625,1.0,0.625;0.0,0.75,0.0,0.375,1.0,1.0;0.375,0.75,0.0,1.0,1.0,0.375;0.375,0.75,0.625,1.0,1.0,1.0;0.625,0.75,0.375,1.0,1.0,0.625|UP
22|0.0,0.0,0.0,1.0,0.25,1.0;0.375,0.25,0.375,0.625,1.0,0.625|DOWN
23|0.0,0.0,0.0,1.0,0.25,1.0;0.375,0.25,0.375,0.625,1.25,0.625|DOWN
24|0.0,0.0,0.0,1.0,1.0,0.5;0.0,0.5,0.5,1.0,1.0,1.0|UP,NORTH
25|0.0,0.0,0.0,0.5,1.0,1.0;0.5,0.0,0.0,1.0,1.0,0.5;0.5,0.5,0.5,1.0,1.0,1.0|UP,NORTH,WEST
26|0.0,0.0,0.0,1.0,1.0,0.5;0.5,0.0,0.5,1.0,1.0,1.0;0.0,0.5,0.5,0.5,1.0,1.0|UP,NORTH,EAST
27|0.0,0.0,0.0,0.5,1.0,0.5;0.0,0.5,0.5,1.0,1.0,1.0;0.5,0.5,0.0,1.0,1.0,0.5|UP
28|0.5,0.0,0.0,1.0,1.0,0.5;0.0,0.5,0.0,0.5,1.0,1.0;0.5,0.5,0.5,1.0,1.0,1.0|UP
29|0.0,0.0,0.0,1.0,0.5,1.0;0.0,0.5,0.0,1.0,1.0,0.5|DOWN,NORTH
30|0.0,0.0,0.0,1.0,0.5,1.0;0.0,0.5,0.0,0.5,1.0,1.0;0.5,0.5,0.0,1.0,1.0,0.5|DOWN,NORTH,WEST
31|0.0,0.0,0.0,1.0,0.5,1.0;0.0,0.5,0.0,1.0,1.0,0.5;0.5,0.5,0.5,1.0,1.0,1.0|DOWN,NORTH,EAST
32|0.0,0.0,0.0,1.0,0.5,1.0;0.0,0.5,0.0,0.5,1.0,0.5|DOWN
33|0.0,0.0,0.0,1.0,0.5,1.0;0.5,0.5,0.0,1.0,1.0,0.5|DOWN
34|0.0,0.0,0.5,1.0,1.0,1.0;0.0,0.5,0.0,1.0,1.0,0.5|UP,SOUTH
35|0.0,0.0,0.5,1.0,1.0,1.0;0.5,0.0,0.0,1.0,1.0,0.5;0.0,0.5,0.0,0.5,1.0,0.5|UP,SOUTH,EAST
36|0.0,0.0,0.0,0.5,1.0,1.0;0.5,0.0,0.5,1.0,1.0,1.0;0.5,0.5,0.0,1.0,1.0,0.5|UP,SOUTH,WEST
37|0.5,0.0,0.5,1.0,1.0,1.0;0.0,0.5,0.0,0.5,1.0,1.0;0.5,0.5,0.0,1.0,1.0,0.5|UP
38|0.0,0.0,0.5,0.5,1.0,1.0;0.0,0.5,0.0,1.0,1.0,0.5;0.5,0.5,0.5,1.0,1.0,1.0|UP
39|0.0,0.0,0.0,1.0,0.5,1.0;0.0,0.5,0.5,1.0,1.0,1.0|DOWN,SOUTH
40|0.0,0.0,0.0,1.0,0.5,1.0;0.0,0.5,0.5,1.0,1.0,1.0;0.5,0.5,0.0,1.0,1.0,0.5|DOWN,SOUTH,EAST
41|0.0,0.0,0.0,1.0,0.5,1.0;0.0,0.5,0.0,0.5,1.0,1.0;0.5,0.5,0.5,1.0,1.0,1.0|DOWN,SOUTH,WEST
42|0.0,0.0,0.0,1.0,0.5,1.0;0.5,0.5,0.5,1.0,1.0,1.0|DOWN
43|0.0,0.0,0.0,1.0,0.5,1.0;0.0,0.5,0.5,0.5,1.0,1.0|DOWN
44|0.0,0.0,0.0,0.5,1.0,1.0;0.5,0.5,0.0,1.0,1.0,1.0|UP,WEST
45|0.0,0.0,0.0,1.0,0.5,1.0;0.0,0.5,0.0,0.5,1.0,1.0|DOWN,WEST
46|0.5,0.0,0.0,1.0,1.0,1.0;0.0,0.5,0.0,0.5,1.0,1.0|UP,EAST
47|0.0,0.0,0.0,1.0,0.5,1.0;0.5,0.5,0.0,1.0,1.0,1.0|DOWN,EAST
48|0.0625,0.0,0.0625,0.9375,0.875,0.9375|
49|0.0625,0.0,0.0625,1.0,0.875,0.9375|
50|0.0,0.0,0.0625,0.9375,0.875,0.9375|
51|0.0625,0.0,0.0,0.9375,0.875,0.9375|
52|0.0625,0.0,0.0625,0.9375,0.875,1.0|
53|0.0,0.0,0.0,1.0,0.9375,1.0|DOWN
54|0.0,0.0,0.0,0.1875,1.0,1.0|WEST
55|0.0,0.0,0.8125,1.0,1.0,1.0|SOUTH
56|0.8125,0.0,0.0,1.0,1.0,1.0|EAST
57|0.0,0.0,0.0,1.0,1.0,0.1875|NORTH
58|0.0625,0.0,0.4375,0.9375,0.625,0.5625|
59|0.1875,0.0,0.1875,0.8125,1.0,0.8125|
60|0.4375,0.0,0.0625,0.5625,0.625,0.9375|
61|0.0,0.875,0.375,1.0,1.0,0.625|
62|0.0625,0.0,0.4375,0.9375,0.625,0.5625;0.0,0.875,0.375,1.0,1.0,0.625|
63|0.375,0.875,0.0,0.625,1.0,1.0|
64|0.4375,0.0,0.0625,0.5625,0.625,0.9375;0.375,0.875,0.0,0.625,1.0,1.0|
65|0.0,0.0,0.0,1.0,0.125,1.0|DOWN
66|0.0,0.0,0.0,1.0,0.25,1.0|DOWN
67|0.0,0.0,0.0,1.0,0.375,1.0|DOWN
68|0.0,0.0,0.0,1.0,0.5,1.0|DOWN
69|0.0,0.0,0.0,1.0,0.625,1.0|DOWN
